"3D Secure authentication","Authentification sécurisée 3D"
"Please select a shipping method...","Veuillez sélectionner un mode d'expédition..."
"Please update order data to get shipping methods and rates","Veuillez mettre à jour les données de commande pour obtenir les modes d'expédition et les tarifs"
"Postal code is required.","Code postal requis."
"Price","Prix"
"Product is out of stock. Please try again later.","Le produit est en rupture de stock. Veuillez réessayer plus tard."
"Qty","Qté"
"Requested invoice number has been previously captured. Possible duplicate transaction.","Le numéro de facture demandé a déjà été saisi. Transaction en double possible."
"Review Order","Ordre de révision"
"Save for later use.","Enregistrer pour une utilisation ultérieure."
"Secure transaction","Transaction sécurisée"
"Securely store your credit card information for future use.","Conservez en toute sécurité vos informations de carte de crédit pour une utilisation ultérieure."
"Shape","Forme"
"Shipping Address","Adresse de livraison"
"Shipping Method","Méthode de livraison"
"Show Apple Pay in mini cart preview","Afficher l'aperçu du mini panier d'Apple Pay"
"Show Apple Pay on cart page","Afficher Apple Pay sur la page du panier"
"Show Apple Pay on checkout page","Afficher Apple Pay sur la page de paiement"
"Show Apple Pay on product detail page","Afficher Apple Pay sur la page des détails du produit"
"Show PayPal Credit on cart page","Afficher le crédit PayPal sur la page du panier"
"Show PayPal Credit on checkout page","Afficher le crédit PayPal sur la page de paiement"
"Show PayPal Credit on minicart page","Afficher le crédit PayPal sur la page minicart"
"Show PayPal Credit on product detail page","Afficher le crédit PayPal sur la page des détails du produit"
"Show Venmo on cart page","Afficher Venmo sur la page du panier"
"Show Venmo on checkout page","Afficher Venmo sur la page de passage en caisse"
"Show Venmo on minicart page","Afficher Venmo sur la page Minicart"
"Show Venmo on product detail page","Afficher Venmo sur la page des détails du produit"
"Show buttons in mini cart preview","Afficher les boutons dans l’aperçu du mini panier"
"Show buttons on cart page","Afficher les boutons sur la page du panier"
"Show buttons on checkout page","Afficher les boutons sur la page de retrait"
"Show on checkout page","Afficher sur la page de passage en caisse"
"Soft Descriptor","Descripteur logiciel"
"Something went wrong with your request. Please try again later.","Une erreur s’est produite lors de votre demande. Veuillez réessayer plus tard."
"Sorry, no quotes are available for this order right now.","Désolé, aucun devis n'est disponible pour cette commande pour le moment."
"Sort Order","Ordre de tri"
"Stored Cards","Cartes stockées"
"Stored Credit Card","Carte de crédit enregistrée"
"Stored Payment Method was successfully removed","Le mode de paiement stocké a été supprimé"
"Submitting order information...","Envoi des informations de commande..."
"Subtotal","SousTotal"
"Tagline","Tagline"
"The card security code is a three or four digit number printed on a credit card. Visa, Mastercard, and Discover cards have a three digit code on the card back. American Express cards have a four digit code on the card front.","Le code de sécurité de la carte est un numéro à trois ou quatre chiffres imprimé sur une carte de crédit. Les cartes Visa, Mastercard et Discover ont un code à trois chiffres au dos de la carte. Les cartes American Express ont un code à quatre chiffres sur le recto de la carte."
"The payer account cannot be used for this transaction.","Impossible d'utiliser le compte payeur pour cette transaction."
"The value of the field should not be more than two decimal places.","La valeur du champ ne doit pas comporter plus de deux décimales."
"This is a required field.","Ce champ est obligatoire."
"This payment option is currently unavailable.","Cette option de paiement est actuellement indisponible."
"Title","Titre"
"To check out, please sign in with your email address.","Pour régler votre chambre, veuillez vous identifier à l'aide de votre adresse e-mail."
"Transaction could not complete because payee account is locked or closed.","La transaction n'a pas pu se terminer car le compte du bénéficiaire est verrouillé ou fermé."
"Type","Type"
"Use <b>When Required</b> to comply with EU regulations. Use <b>Always</b> for extra fraud protection. <a href=""https://experienceleague.adobe.com/docs/commerce-merchant-services/payment-services/security.html#3ds"" target=""_blank"">More information</a>","Utiliser <b>si nécessaire</b> pour se conformer aux réglementations européennes. Utilisez <b>Toujours</b> pour une protection supplémentaire contre la fraude. <a href=""https://experienceleague.adobe.com/docs/commerce-merchant-services/payment-services/security.html#3ds"" target=""_blank"">Informations supplémentaires</a>"
"Use Default Height","Utiliser la hauteur par défaut"
"Vault Enabled","Vault activé"
"Vault Enabled in Admin","Vault activé dans Admin"
"Venmo","Venmo"
"Venmo Enabled","Activé pour Venmo"
"We can't add this item to your shopping cart right now. Please try again later.","Nous ne pouvons pas ajouter cet article à votre panier pour l'instant. Veuillez réessayer plus tard."
"We can't process the order right now. Please try again later.","Nous ne pouvons pas traiter la commande pour le moment. Veuillez réessayer plus tard."
"What is this?","C'est quoi ?"
"When Required","Si nécessaire"
"Your credit card will be charged for","Votre carte de crédit sera débitée pour"
"Your payment was not successful. Ensure you have entered your details correctly and try again, or try a different payment method. If you have continued problems, contact the issuing bank for your payment method.","Votre paiement a échoué. Assurez-vous d'avoir saisi correctement vos coordonnées et réessayez, ou essayez un autre mode de paiement. Si vous rencontrez toujours des problèmes, contactez la banque émettrice pour votre mode de paiement."
"Your payment was not successful. Try again.","Votre paiement a échoué. Veuillez réessayer."
"Your session has expired. Please refresh the page and try again.","Votre session a expiré. Veuillez actualiser la page et réessayer."
"black","noir"
"blue","bleu"
"cc_exp_month","Mois d’expiration"
"cc_exp_month/cc_exp_year","Date d'expiration carte"
"cc_exp_year","Année d'expiration"
"cc_last_4","Carte se terminant par"
"cc_type","Type de paiement"
"ending","fin"
"expires","expire"
"gold","or"
"horizontal","horizontal"
"message","message"
"payment_source","Type de paiement"
"payments_order_id","ID ordre de paiement"
"paypal_order_id","Référence du fournisseur de paiement"
"pill","pilule"
"rectangular","rectangulaire"
"silver","argent"
"vertical","vertical"
"white","blanc"
