"Show Apple Pay on product detail page","Show Apple Pay on product detail page"
"Show buttons in mini cart preview","Show buttons in mini cart preview"
"Show buttons on cart page","Show buttons on cart page"
"Show buttons on checkout page","Show buttons on checkout page"
Venmo,Venmo
"Show Venmo on product detail page","Show Venmo on product detail page"
"Show Venmo on minicart page","Show Venmo on minicart page"
"Show Venmo on cart page","Show Venmo on cart page"
"Show Venmo on checkout page","Show Venmo on checkout page"
"PayPal Credit","PayPal Credit"
"Show PayPal Credit on product detail page","Show PayPal Credit on product detail page"
"Show PayPal Credit on minicart page","Show PayPal Credit on minicart page"
"Show PayPal Credit on cart page","Show PayPal Credit on cart page"
"Show PayPal Credit on checkout page","Show PayPal Credit on checkout page"
"PayPal Pay Later Message","PayPal Pay Later Message"
"Display Pay Later Message on product detail page","Display Pay Later Message on product detail page"
"Display Pay Later Message on minicart page","Display Pay Later Message on minicart page"
"Display Pay Later Message on cart page","Display Pay Later Message on cart page"
"Display Pay Later Message on checkout page","Display Pay Later Message on checkout page"
"Button Style","Button Style"
"Apple Pay","Apple Pay"
Layout,Layout
Color,Color
Shape,Shape
Height,Height
"Use Default Height","Use Default Height"
Label,Label
Tagline,Tagline
"Authorization has already been captured.","Authorization has already been captured."
"Currency code should be a three-character currency code.","Currency code should be a three-character currency code."
"Must be greater than zero. If the currency supports decimals, only two decimal place precision is supported.","Must be greater than zero. If the currency supports decimals, only two decimal place precision is supported."
"The value of the field should not be more than two decimal places.","The value of the field should not be more than two decimal places."
"Currency does not support decimals.","Currency does not support decimals."
"PayPal's internal controls prevent authorization from being captured.","PayPal's internal controls prevent authorization from being captured."
"A voided authorization cannot be captured or reauthorized.","A voided authorization cannot be captured or reauthorized."
"Maximum number of allowable captures has been reached. No additional captures are possible for this authorization. Please contact customer service or your account manager to change the number of captures that be made for a given authorization.","Maximum number of allowable captures has been reached. No additional captures are possible for this authorization. Please contact customer service or your account manager to change the number of captures that be made for a given authorization."
"Requested invoice number has been previously captured. Possible duplicate transaction.","Requested invoice number has been previously captured. Possible duplicate transaction."
"Currency of capture must be the same as currency of authorization.","Currency of capture must be the same as currency of authorization."
"Authorization has already been captured.","Authorization has already been captured."
"Payer cannot pay for this transaction.","Payer cannot pay for this transaction."
"An expired authorization cannot be captured.","An expired authorization cannot be captured."
"Capture amount exceeds allowable limit.","Capture amount exceeds allowable limit."
"Transaction could not complete because payee account is locked or closed.","Transaction could not complete because payee account is locked or closed."
"The payer account cannot be used for this transaction.","The payer account cannot be used for this transaction."
"Order auto-canceled due to technical issues.","Order auto-canceled due to technical issues."
"Credit and Debit Card Enabled","Credit and Debit Card Enabled"
"Pay with Payment Services","Pay with Payment Services"
"Stored Credit Card","Stored Credit Card"
PayPal,PayPal
PayLater,PayLater
"Review Order","Review Order"
"cc_type","Payment Type"
"cc_last_4","Card Ending in"
"cc_exp_month/cc_exp_year","Card Expiration Date"
"cc_exp_month","Card Expiration Month"
"cc_exp_year","Card Expiration Year"
"payment_source","Payment Type"
"payments_order_id","Payment Order ID"
"paypal_order_id","Payment Provider Reference"
"Show buttons on product detail page","Show buttons on product detail page"
